,V1
381,1870.534935
382,397.665736
383,2366.941266
384,390.2390581
385,773.8436613
386,1462.59714
387,1584.4707
388,1044.080481
389,3719.041475
390,6567.86
391,1027.738426
392,775.765766
393,1086.039766
394,515.2412117
395,1544.725278
396,733.2127921
397,980.3648538
398,1358.060554
399,1513.605569
400,1546.742992
401,364.571855
402,2191.976386
403,1347.472439
404,1739.261435
405,1587.02582
406,1685.842868
407,4427.008448
408,1779.799006
409,846.1001345
410,1384.730028
411,1528.653987
412,1201.513985
413,710.4294132
414,1494.640024
415,989.5675055
416,1440.147026
417,1806.743986
418,1476.289338
419,1751.666418
420,816.0296972
421,1646.994211
422,1080.637316
423,971.5319717
424,787.6974583
425,2617.131241
426,1629.029664
427,1033.36419
428,1146.108989
429,1763.66249
430,1275.099003
431,1118.813947
432,915.1224361
433,1584.834356
434,1658.588241
435,3187.283034
436,755.0385594
437,1020.596745
438,872.5258114
439,1369.197556
440,2158.612655
441,1970.698646
442,1682.140393
443,2581.444245
444,989.4483292
445,1001.636488
446,1014.844912
447,1276.459219
448,193.0746288
449,1708.751736
450,1915.105612
451,856.7275435
452,455.5464568
453,1773.224457
454,1387.030498
455,3845.178427
456,580.7148836
457,2112.219211
458,384.3157723
459,933.2994756
460,1836.887951
461,1550.838141
462,2084.605681
463,818.1924292
464,1395.935971
465,1120.86383
466,2488.384109
467,2026.877225
468,1083.593609
469,3725.275113
470,555.0819522
471,544.6829783
472,1362.797324
473,927.085903
474,2204.110575
475,1015.496142
476,1062.817733
477,402.7057363
478,1160.771154
479,946.8557566
480,2268.485091
481,744.4504932
482,395.191089
483,1416.143249
484,1068.245987
485,994.8084086
486,636.2936568
487,737.7416374
488,1552.005827
489,1789.648018
490,595.6396454
491,2413.194964
492,439.1209582
493,1177.146097
494,1822.205072
495,1585.367602
496,1220.344729
497,2172.998431
498,515.6577307
499,677.9736609
500,2210.694249
501,927.7319715
502,4110.184482
503,430.643575
504,1379.811682
505,540.8157535
506,1330.552686
507,195.7250911
508,676.6463704
509,347.9630161
510,3264.864073
511,2718.845586
512,1503.689539
513,2487.743444
514,5411.475839
515,725.0675094
516,2571.525038
517,885.7149625
518,280.9473666
519,1936.113083
520,5026.971928
521,1161.380616
522,2655.439567
523,1068.19927
524,921.2874927
525,975.7012294
526,860.6404037
527,994.9095959
528,2944.6898
529,1757.026776
530,2043.009171
531,1114.984297
532,3134.215028
533,1773.399607
534,1412.073381
535,710.4761908
536,721.3160574
537,1907.675019
538,462.0093682
539,807.7307854
540,2685.139766
541,787.239562
542,2034.697691
543,1798.278953
544,1277.01024
545,2548.98643
546,627.8229981
547,1637.814649
548,405.5868344
549,1380.123386
550,1016.638165
551,653.8206031
552,1035.925796
553,1044.282318
554,1639.212306
555,649.1534861
556,3427.541214
557,1091.126908
558,2238.079926
559,2121.521906
560,7652.850581
561,956.497728
562,1809.592897
563,1047.223894
564,1178.49275
565,3059.210215
566,839.0778784
567,2807.973267
568,732.8095078
569,1803.819834
570,1480.245462
571,2259.480124
572,1746.019974
573,732.7318551
574,652.5770571
575,314.3565206
576,1107.116988
577,1474.319736
578,2870.37978
579,1929.843989
580,1179.191222
581,553.8112974
582,7992.77091
583,1415.695472
584,1072.952026
585,842.9894037
586,1004.079613
587,994.8450966
588,1430.10405
589,1075.73611
590,1358.476003
591,2299.020123
592,1240.384149
593,2115.295845
594,1155.594043
595,3787.448928
596,1174.522533
597,664.4662287
598,536.703892
599,2926.835134
600,1413.076801
601,1814.026912
602,4454.392925
603,1468.472554
604,1380.01328
605,749.5962783
606,990.781367
607,2538.357857
608,775.9460029
609,1375.33443
610,733.7426623
611,1573.834037
612,379.7741071
613,612.6014924
614,2683.228429
615,496.7731905
616,346.953801
617,2827.725198
618,2627.737116
619,1404.922258
620,2765.096848
621,665.1778113
622,887.9205862
623,1895.141286
624,990.4407467
625,1706.442053
626,441.6556092
627,3046.519236
628,2867.246211
629,2987.779323
630,2374.413906
631,3879.188578
632,3170.801257
633,682.5834485
634,1024.164858
635,1606.590426
636,1053.306326
637,534.4110006
638,2416.621234
639,3569.602719
640,2924.794709
641,2916.81435
642,1059.538481
643,1917.579904
644,2665.08829
645,887.6557389
646,997.0117939
647,959.2580496
648,375.5566763
649,1886.850931
650,695.2522729
651,1733.907365
652,544.798399
653,1284.528614
654,588.1455342
655,2175.845757
656,1722.768965
657,2199.887359
658,772.0836598
659,1926.039774
660,653.4204166
661,1835.996109
662,532.6964245
663,491.473359
664,714.2621665
665,792.9969436
666,1074.503682
667,613.162734
668,1122.677134
669,1374.364197
670,531.5573611
671,852.1874523
672,605.5662264
673,3932.723042
674,542.0618895
675,1164.500334
676,800.0144914
677,1137.014838
678,1727.483937
679,1174.04953
680,1719.051247
681,881.8949151
682,2708.636383
683,828.7242814
684,2529.064999
685,2122.303892
686,4407.128644
687,3568.581795
688,1627.532463
689,1135.073311
690,1635.877952
691,4614.210243
692,1369.303156
693,1477.217559
694,524.4526707
695,2111.049874
696,880.0671819
697,3219.271646
698,1651.794459
699,551.119699
700,2168.942932
701,1711.245808
702,595.7419712
703,1083.115629
704,1262.314555
705,1262.314555
706,2601.606497
707,950.8974288
708,390.0695107
709,2690.886221
710,1871.459322
711,1412.658635
712,736.1392782
713,1247.936778
714,1133.225737
715,537.6393645
716,785.4863932
717,596.8130197
718,587.0232723
719,929.9253299
720,1182.349769
721,800.0689165
722,1565.344765
723,1637.226896
724,460.1281384
725,2987.536554
726,2220.612534
727,4737.444545
728,2425.890344
729,1079.107489
730,2647.01389
731,5706.733213
732,2226.153514
733,632.3779889
734,864.9931016
735,4417.729593
736,682.658658
737,581.5706785
738,3042.624912
739,916.9845396
740,1055.90652
741,2473.78586
742,2048.83384
743,426.3292149
744,1160.941825
745,1684.900925
746,1425.102495
747,3402.621508
748,957.6031533
749,967.2719788
750,2360.604949
751,1108.917996
752,2120.253048
753,443.6907212
754,292.6898776
755,773.811159
756,1141.217295
757,1915.678633
758,548.1549648
759,969.4030405
760,472.0310929
761,2322.418936
762,581.174733
763,889.2745231
764,762.5626865
765,611.7623183
766,3500.490908
767,1521.822296
768,911.1051719
769,1100.552434
770,3159.956616
771,1365.105823
772,2514.64387
773,321.7569384
774,3452.409594
775,1120.157764
776,1128.376758
777,1275.733037
778,727.7998225
779,1514.519832
780,1281.238833
781,611.2460664
782,282.1819041
783,2332.12471
784,2405.445962
785,1369.501304
786,813.7347791
787,1939.609484
788,2117.494316
789,964.981943
790,1051.745596
791,5707.105886
792,2065.575738
793,508.5240603
794,881.8093802
795,461.430078
796,807.1251451
797,879.8033682
798,1433.201999
799,3551.213921
800,2092.459409
801,1521.975832
802,1110.108234
803,581.1239779
804,817.7945651
805,3162.240725
806,3913.724038
807,754.1363962
808,2792.217708
809,2383.884719
810,306.8498359
811,3529.101135
812,3425.535649
813,656.1580309
814,1271.862951
815,2308.547757
816,612.8948491
817,386.0580291
818,1899.092144
819,1365.276817
820,788.2243883
821,297.5313853
822,2012.66752
823,3661.972419
824,1655.390733
825,1116.970252
826,1196.365629
827,1013.513666
828,555.135248
829,713.9226753
830,2084.258846
831,1461.569218
832,544.6230906
833,1860.518822
834,976.7899575
835,2144.097786
836,4510.715295
837,1226.712948
838,1260.343995
839,1255.051765
840,423.6246684
841,1331.914234
842,896.6508272
843,699.9333852
